Chromosome,Start,Stop,MurphyTiger,MurphyLion,MT1,ML2,ML1,FT3,FT2,FT1,SunDol
chrX,0,100000,0.00095,0.00838,0.00116,0.00856,0.00685,,0.00244,0.00149,0.00687
chrX,100000,200000,0.00125,0.01273,0.00339,0.01272,0.00855,0.00168,0.00385,0.00238,0.00847
chrX,200000,300000,0.00141,0.01488,0.00375,0.014730000000000002,0.01299,0.00302,0.00421,0.00295,0.01295
chrX,300000,400000,0.00201,0.01576,0.0027199999999999998,0.015,0.01374,0.00232,0.00455,0.00335,0.01379
chrX,400000,500000,0.00063,0.013640000000000001,0.00197,0.013080000000000001,0.01184,0.00116,0.0018800000000000002,0.00137,0.01178
chrX,500000,600000,0.0019100000000000002,0.0139,0.0027199999999999998,0.013019999999999999,0.01236,0.0018800000000000002,0.00091,0.0006799999999999999,0.01229
chrX,600000,700000,0.00108,0.01466,0.0017,0.01436,0.01317,0.0017100000000000001,0.00302,0.00217,0.0132
chrX,700000,800000,0.0012900000000000001,0.01609,0.00231,0.014709999999999999,0.01349,0.0025399999999999997,0.00059,0.0005,0.01345
chrX,800000,900000,0.00151,0.0145,0.00232,0.01286,0.01089,0.00279,0.00445,0.00285,0.01089
chrX,900000,1000000,0.0017699999999999999,0.013519999999999999,0.0033200000000000005,0.013430000000000001,0.01187,0.00162,0.00232,0.0017100000000000001,0.0119
chrX,1000000,1100000,0.00168,0.015369999999999998,0.00257,0.01494,0.01293,0.00305,0.00044,0.00025,0.01293
chrX,1100000,1200000,0.00196,0.014190000000000001,0.00232,0.013640000000000001,0.013680000000000001,0.0033299999999999996,0.0002,0.00013000000000000002,0.01371
chrX,1200000,1300000,0.00128,0.01415,0.00328,0.014369999999999999,0.013569999999999999,0.00235,0.00205,0.0016600000000000002,0.01365
chrX,1300000,1400000,0.0010400000000000001,0.01326,0.0021,0.01238,0.01217,0.0022199999999999998,0.00148,0.00143,0.01214
chrX,1400000,1500000,0.00126,0.013080000000000001,0.0022600000000000003,0.01273,0.011940000000000001,0.00238,0.00275,0.00195,0.012
chrX,1500000,1600000,0.0011,0.01342,0.0023,0.013219999999999999,0.013009999999999999,0.00201,0.003,0.00221,0.013019999999999999
chrX,1600000,1700000,0.00121,0.01188,0.00173,0.011470000000000001,0.011640000000000001,0.00267,0.00283,0.0024100000000000002,0.01162
chrX,1700000,1800000,0.0011099999999999999,0.01261,0.00196,0.012329999999999999,0.012329999999999999,0.0024,0.00225,0.00199,0.01229
chrX,1800000,1900000,0.00098,0.0131,0.00283,0.01289,0.01292,0.0032,0.001,0.00084,0.01291
chrX,1900000,2000000,0.00156,0.013219999999999999,0.00156,0.013430000000000001,0.01347,0.00201,0.0022199999999999998,0.0018399999999999998,0.0135
chrX,2000000,2100000,0.00151,0.01492,0.00266,0.01426,0.014119999999999999,0.00251,0.0006799999999999999,0.0008300000000000001,0.014130000000000002
chrX,2100000,2200000,0.00147,0.01222,0.00249,0.01227,0.01222,0.00236,0.0016300000000000002,0.00133,0.01222
chrX,2200000,2300000,0.0014199999999999998,0.01213,0.0026100000000000003,0.01227,0.012459999999999999,0.00218,0.00238,0.00207,0.01245
chrX,2300000,2400000,0.00101,0.01068,0.00441,0.010320000000000001,0.01077,0.0031899999999999997,0.00335,0.00288,0.010759999999999999
chrX,2400000,2500000,0.00085,0.01023,0.00198,0.010329999999999999,0.010459999999999999,0.00187,0.00119,0.00109,0.0104
chrX,2500000,2600000,0.00144,0.01264,0.00358,0.01237,0.012759999999999999,0.00417,0.00387,0.00352,0.01277
chrX,2600000,2700000,0.00137,0.01063,0.00233,0.01036,0.01056,0.0023899999999999998,0.00106,0.00108,0.01057
chrX,2700000,2800000,0.00081,0.009559999999999999,0.00155,0.00958,0.0097,0.00146,0.00091,0.0007,0.00969
chrX,2800000,2900000,0.001,0.0082,0.00132,0.00886,0.00933,0.00235,0.00105,0.00115,0.00938
chrX,2900000,3000000,0.00085,0.01154,0.0011,0.01113,0.0116,0.00135,2e-05,5e-05,0.0116
chrX,3000000,3100000,0.00081,0.01299,0.00314,0.01286,0.012740000000000001,0.0033200000000000005,0.0,0.0,0.01275
chrX,3100000,3200000,0.00049,0.00886,0.00263,0.00864,0.00875,0.00155,0.0009699999999999999,0.00065,0.00877
chrX,3200000,3300000,0.00095,0.010209999999999999,0.00165,0.00997,0.01025,0.00165,0.0009599999999999999,0.00079,0.01022
chrX,3300000,3400000,0.00131,0.00908,0.00264,0.009340000000000001,0.00948,0.00183,0.00168,0.00144,0.00948
chrX,3400000,3500000,0.0013599999999999999,0.00886,0.00227,0.008709999999999999,0.00875,0.0027,0.00124,0.00118,0.00875
chrX,3500000,3600000,0.00108,0.00978,0.00207,0.0099,0.01007,0.00243,0.00103,0.00093,0.01009
chrX,3600000,3700000,0.00088,0.01055,0.00198,0.01072,0.010740000000000001,0.00199,0.0,0.0,0.01073
chrX,3700000,3800000,0.00099,0.00944,0.00201,0.009009999999999999,0.00946,0.00175,0.00176,0.00151,0.00946
chrX,3800000,3900000,0.00125,0.00916,0.00185,0.00881,0.00945,0.00137,0.00175,0.00148,0.0095
chrX,3900000,4000000,0.00119,0.009729999999999999,0.0015199999999999999,0.00963,0.00972,0.00173,0.0014199999999999998,0.00128,0.00966
chrX,4000000,4100000,0.00054,0.01086,0.00131,0.01078,0.011009999999999999,0.0021100000000000003,0.0023,0.0018399999999999998,0.011009999999999999
chrX,4100000,4200000,0.00031,0.01199,0.00125,0.01135,0.01171,0.00179,0.00133,0.00106,0.01176
chrX,4200000,4300000,0.00078,0.011059999999999999,0.0016,0.011170000000000001,0.01149,0.00218,0.00186,0.00168,0.01144
chrX,4300000,4400000,0.00118,0.0135,0.00205,0.01324,0.01317,0.0023,0.00264,0.0022,0.01314
chrX,4400000,4500000,0.0012699999999999999,0.01122,0.00201,0.01115,0.011090000000000001,0.00196,0.00203,0.0018,0.01108
chrX,4500000,4600000,0.00164,0.01242,0.00252,0.01277,0.01261,0.00196,5e-05,0.0,0.012620000000000001
chrX,4600000,4700000,0.00103,0.009609999999999999,0.00203,0.00979,0.009940000000000001,0.0013,0.00072,0.00063,0.00992
chrX,4700000,4800000,0.0011099999999999999,0.00987,0.00105,0.010020000000000001,0.0102,0.0013599999999999999,0.0018899999999999998,0.0016300000000000002,0.010209999999999999
chrX,4800000,4900000,0.0017699999999999999,0.00945,0.0031899999999999997,0.009559999999999999,0.009609999999999999,0.00271,0.0033799999999999998,0.00317,0.0096
chrX,4900000,5000000,0.00042,0.00945,0.0013,0.00939,0.00946,0.00057,0.00328,0.00281,0.009470000000000001
chrX,5000000,5100000,0.00148,0.01166,0.0016600000000000002,0.01201,0.01211,0.0009699999999999999,0.00205,0.00164,0.01209
chrX,5100000,5200000,0.00175,0.01178,0.0027199999999999998,0.012029999999999999,0.01228,0.00198,0.00231,0.00203,0.01231
chrX,5200000,5300000,0.00039,0.011479999999999999,0.00053,0.01125,0.0116,0.00131,0.0016300000000000002,0.0013800000000000002,0.011559999999999999
chrX,5300000,5400000,0.0008,0.01052,0.00119,0.01047,0.01065,0.00223,0.0006,0.00054,0.01064
chrX,5400000,5500000,0.0009400000000000001,0.01094,0.00095,0.010740000000000001,0.01095,0.00123,0.00031,0.00026000000000000003,0.01091
chrX,5500000,5600000,0.00091,0.01182,0.00164,0.011770000000000001,0.01187,0.0017800000000000001,0.00075,0.00072,0.011859999999999999
chrX,5600000,5700000,0.00073,0.01075,0.0021100000000000003,0.010320000000000001,0.01083,0.0020399999999999997,0.00079,0.00057,0.01082
chrX,5700000,5800000,0.00121,0.008459999999999999,0.00212,0.00842,0.008440000000000001,0.0016300000000000002,0.00215,0.0018100000000000002,0.00842
chrX,5800000,5900000,0.0009599999999999999,0.00851,0.0010199999999999999,0.008459999999999999,0.00891,0.00173,0.00098,0.00084,0.00889
