Chromosome,Start,Stop,CatIII,Fca508,LilBub,Pammi,Pbe14,Pbe38,Pbe53,Pbe6
chrA1,0,100000,0.00247,0.00227,0.00143,0.00144,0.00903,0.00793,0.011179999999999999,0.01312
chrA1,100000,200000,0.00112,0.0012900000000000001,0.0006799999999999999,5.9999999999999995e-05,0.01121,0.01183,0.01229,0.012190000000000001
chrA1,200000,300000,0.00128,0.00109,0.0012,2e-05,0.01057,0.010759999999999999,0.01103,0.01072
chrA1,300000,400000,0.00168,0.00244,0.00185,0.0,0.01151,0.011890000000000001,0.01257,0.01261
chrA1,400000,500000,0.0016300000000000002,0.00063,0.0016300000000000002,0.0,0.008870000000000001,0.00925,0.010490000000000001,0.01057
chrA1,500000,600000,0.0020800000000000003,0.0019199999999999998,0.00183,2e-05,0.00899,0.00932,0.01066,0.01056
chrA1,600000,700000,0.00207,0.0021899999999999997,0.00209,1e-05,0.01056,0.0111,0.012329999999999999,0.01183
chrA1,700000,800000,0.0012699999999999999,0.00145,0.00098,0.00137,0.01098,0.01172,0.0129,0.01261
chrA1,800000,900000,0.00095,0.00125,0.00028,0.0018100000000000002,0.009770000000000001,0.0103,0.01185,0.011609999999999999
chrA1,900000,1000000,0.00095,0.0018899999999999998,0.0005099999999999999,0.0019,0.01083,0.01078,0.01356,0.013330000000000002
chrA1,1000000,1100000,0.00165,0.0015300000000000001,0.0015,0.00159,0.00979,0.011040000000000001,0.01266,0.01285
chrA1,1100000,1200000,0.0024,0.00358,0.00266,0.0038200000000000005,0.014130000000000002,0.01481,0.01642,0.016069999999999997
chrA1,1200000,1300000,0.00321,0.00316,0.004070000000000001,0.0036799999999999997,0.0169,0.01778,0.01846,0.0182
chrA1,1300000,1400000,0.00325,0.00314,0.0033299999999999996,0.0033,0.01652,0.0172,0.01813,0.01791
chrA1,1400000,1500000,0.00343,0.0033799999999999998,0.0042,0.00424,0.0188,0.0193,0.020040000000000002,0.01959
chrA1,1500000,1600000,0.004079999999999999,0.004070000000000001,0.00412,0.00428,0.01636,0.017759999999999998,0.01925,0.01851
chrA1,1600000,1700000,0.0029100000000000003,0.0025800000000000003,0.00411,0.0041,0.01351,0.013730000000000001,0.01516,0.01493
chrA1,1700000,1800000,0.00236,0.00135,0.00346,0.00349,0.018080000000000002,0.019280000000000002,0.02085,0.02047
chrA1,1800000,1900000,0.00249,0.00098,0.0025,0.00299,0.01571,0.01642,0.01805,0.017759999999999998
chrA1,1900000,2000000,0.00449,0.0019100000000000002,0.00485,0.00515,0.017419999999999998,0.018369999999999997,0.01929,0.018869999999999998
chrA1,2000000,2100000,0.0044,0.00352,0.00439,0.00465,0.017830000000000002,0.01911,0.020819999999999998,0.02008
chrA1,2100000,2200000,0.00251,0.00255,0.00456,0.00323,0.01763,0.01856,0.0195,0.018869999999999998
chrA1,2200000,2300000,0.0038200000000000005,0.00238,0.00419,0.00351,0.01743,0.01892,0.02084,0.02017
chrA1,2300000,2400000,0.00267,0.00256,0.00031,0.00449,0.019459999999999998,0.02017,0.02099,0.02093
chrA1,2400000,2500000,0.0019100000000000002,0.00252,0.00124,0.00432,0.01595,0.016919999999999998,0.0182,0.01795
chrA1,2500000,2600000,0.00218,0.00403,0.00309,0.00072,0.01838,0.01905,0.0201,0.01967
chrA1,2600000,2700000,0.0041600000000000005,0.00417,0.00477,0.00448,0.0179,0.01823,0.01917,0.01877
chrA1,2700000,2800000,0.00566,0.0051600000000000005,0.00518,0.0006799999999999999,0.020419999999999997,0.02071,0.0215,0.02125
chrA1,2800000,2900000,0.00643,0.006940000000000001,0.00672,5.9999999999999995e-05,0.02033,0.0207,0.02205,0.0214
chrA1,2900000,3000000,0.00577,0.00534,0.0060799999999999995,2e-05,0.02054,0.02074,0.02161,0.021480000000000003
chrA1,3000000,3100000,0.006220000000000001,0.0055,0.00586,2e-05,0.01963,0.01996,0.02086,0.02061
chrA1,3100000,3200000,0.00585,0.00564,0.00605,0.00037999999999999997,0.01925,0.01938,0.02106,0.02076
chrA1,3200000,3300000,0.004529999999999999,0.00466,0.00421,0.00358,0.01784,0.018930000000000002,0.02019,0.0201
chrA1,3300000,3400000,0.00295,0.0025,0.00285,0.00302,0.01765,0.01803,0.01993,0.020040000000000002
chrA1,3400000,3500000,0.0025,0.00238,0.00246,0.00249,0.017519999999999997,0.01743,0.01929,0.0186
chrA1,3500000,3600000,0.00256,0.0044399999999999995,0.00466,0.00611,0.01734,0.01789,0.01898,0.019180000000000003
chrA1,3600000,3700000,2e-05,0.00595,0.00662,0.007940000000000001,0.01904,0.01907,0.020909999999999998,0.020569999999999998
chrA1,3700000,3800000,0.0027199999999999998,0.0043,0.0070799999999999995,0.00783,0.0194,0.02079,0.02167,0.02153
chrA1,3800000,3900000,0.00607,0.0054600000000000004,0.00743,0.00692,0.02105,0.02137,0.02277,0.02238
chrA1,3900000,4000000,0.00556,0.00487,0.005529999999999999,0.00506,0.01784,0.01907,0.01984,0.019190000000000002
chrA1,4000000,4100000,0.0053100000000000005,0.00489,0.00562,0.00825,0.01999,0.02048,0.02311,0.0228
chrA1,4100000,4200000,7e-05,0.00126,2.9999999999999997e-05,0.0019,0.01896,0.02026,0.02206,0.02105
chrA1,4200000,4300000,0.0029,0.00303,0.00296,0.0028399999999999996,0.02192,0.023280000000000002,0.02468,0.02453
chrA1,4300000,4400000,0.0054399999999999995,0.00535,0.00528,0.00541,0.02174,0.02257,0.024030000000000003,0.0234
chrA1,4400000,4500000,0.00581,0.00575,0.00558,0.0058,0.01974,0.02093,0.022369999999999998,0.02125
chrA1,4500000,4600000,0.00564,0.00551,0.00554,0.0052,0.01852,0.01937,0.02041,0.01991
chrA1,4600000,4700000,0.00454,0.00427,0.00511,0.00488,0.016880000000000003,0.01738,0.01867,0.0185
chrA1,4700000,4800000,0.00556,0.0055,0.00566,0.00518,0.01707,0.01788,0.020030000000000003,0.01927
chrA1,4800000,4900000,0.0054399999999999995,0.0062,0.0055,5e-05,0.01738,0.01839,0.02087,0.01984
chrA1,4900000,5000000,0.00321,0.00491,0.00424,0.0048,0.0176,0.01902,0.02021,0.01934
chrA1,5000000,5100000,0.00103,0.00271,0.00195,0.00274,0.01406,0.01464,0.0167,0.0165
chrA1,5100000,5200000,0.0037,0.0032700000000000003,0.0036200000000000004,0.00533,0.018609999999999998,0.01948,0.02125,0.02079
chrA1,5200000,5300000,0.00412,0.00615,0.00602,0.00701,0.02055,0.020390000000000002,0.02226,0.02174
chrA1,5300000,5400000,0.00299,0.00543,0.00547,0.00725,0.01996,0.02065,0.02175,0.021490000000000002
chrA1,5400000,5500000,0.00656,0.006790000000000001,0.0063100000000000005,0.0065,0.02022,0.02086,0.02222,0.02164
chrA1,5500000,5600000,0.00159,0.0021100000000000003,0.00318,0.00315,0.020319999999999998,0.02104,0.02219,0.02178
chrA1,5600000,5700000,0.00315,0.00317,0.0036799999999999997,0.00217,0.019819999999999997,0.02101,0.022430000000000002,0.02206
chrA1,5700000,5800000,0.00434,0.00448,0.00534,0.00521,0.01781,0.01904,0.0201,0.01933
chrA1,5800000,5900000,0.0040100000000000005,0.0,0.00201,0.00449,0.01653,0.016659999999999998,0.01813,0.017580000000000002
chrA1,5900000,6000000,0.00266,0.00159,0.00221,0.00506,0.01486,0.015030000000000002,0.01714,0.01706
chrA1,6000000,6100000,0.00195,0.0018399999999999998,0.00209,0.00527,0.01481,0.015309999999999999,0.016630000000000002,0.016309999999999998
chrA1,6100000,6200000,0.0013800000000000002,0.0,0.00118,0.0029,0.01284,0.0132,0.01411,0.014369999999999999
chrA1,6200000,6300000,0.00494,0.004379999999999999,0.0037,0.00464,0.01984,0.020730000000000002,0.02197,0.02155
chrA1,6300000,6400000,0.00266,0.00372,0.00458,0.00454,0.017159999999999998,0.01857,0.02034,0.019719999999999998
chrA1,6400000,6500000,0.00487,0.0033,0.00345,0.0028,0.01847,0.01924,0.02037,0.01989
chrA1,6500000,6600000,0.006509999999999999,0.00526,0.00519,0.00481,0.02104,0.022109999999999998,0.02362,0.023190000000000002
chrA1,6600000,6700000,0.00415,0.0046700000000000005,0.0061600000000000005,0.00716,0.020659999999999998,0.022609999999999998,0.02305,0.02284
chrA1,6700000,6800000,0.00243,0.00455,0.0059700000000000005,0.00146,0.021759999999999998,0.02277,0.0241,0.02393
chrA1,6800000,6900000,0.00461,0.00461,0.00457,0.00435,0.01782,0.01913,0.02166,0.02118
chrA1,6900000,7000000,0.00657,0.00489,0.00648,0.0066,0.01968,0.02121,0.02301,0.02197
chrA1,7000000,7100000,0.00728,0.00424,0.0065,0.00643,0.02033,0.02153,0.02356,0.02267
chrA1,7100000,7200000,0.00743,0.00448,0.0028399999999999996,0.00238,0.01948,0.02113,0.022719999999999997,0.022000000000000002
chrA1,7200000,7300000,0.00506,0.00259,0.00498,0.0051,0.01991,0.02134,0.022940000000000002,0.0227
chrA1,7300000,7400000,0.00373,0.00387,0.00702,0.00381,0.01826,0.01917,0.02118,0.0212
chrA1,7400000,7500000,0.00635,0.00628,0.00502,0.00602,0.0178,0.018690000000000002,0.021509999999999998,0.0207
chrA1,7500000,7600000,0.0038,0.0031100000000000004,0.00196,0.00656,0.01714,0.018940000000000002,0.021,0.020669999999999997
chrA1,7600000,7700000,0.0036200000000000004,0.0030399999999999997,0.00674,0.00757,0.017509999999999998,0.01859,0.02185,0.02153
chrA1,7700000,7800000,0.00179,0.0018800000000000002,0.00202,0.00381,0.01455,0.015069999999999998,0.017580000000000002,0.01757
chrA1,7800000,7900000,0.00298,0.0021899999999999997,0.00365,0.0009400000000000001,0.01739,0.018330000000000003,0.01906,0.01873
chrA1,7900000,8000000,0.00595,0.00511,0.0021899999999999997,0.00148,0.02191,0.02289,0.024390000000000002,0.023880000000000002
chrA1,8000000,8100000,0.00275,0.00231,0.0069900000000000006,0.007209999999999999,0.01945,0.0213,0.02256,0.022019999999999998
chrA1,8100000,8200000,0.0034799999999999996,0.00485,0.00545,0.00692,0.02016,0.02086,0.022090000000000002,0.02199
chrA1,8200000,8300000,0.00515,0.00321,0.00448,0.00517,0.01645,0.01766,0.01886,0.01841
chrA1,8300000,8400000,0.0038799999999999998,0.00554,0.00355,0.0049700000000000005,0.01644,0.01718,0.01831,0.018359999999999998
chrA1,8400000,8500000,0.00415,0.0022600000000000003,0.00489,0.00322,0.01866,0.019180000000000003,0.02094,0.020419999999999997
chrA1,8500000,8600000,0.0035299999999999997,0.00492,0.00449,0.00549,0.017419999999999998,0.018080000000000002,0.01913,0.01904
chrA1,8600000,8700000,0.0051,0.00483,0.00495,0.0049,0.017490000000000002,0.01768,0.0192,0.01883
chrA1,8700000,8800000,0.00621,0.0028899999999999998,0.0029,0.00442,0.018930000000000002,0.01949,0.02119,0.02056
chrA1,8800000,8900000,0.00364,0.0035600000000000002,0.00398,0.0042899999999999995,0.01944,0.02089,0.0221,0.02174
chrA1,8900000,9000000,0.0017,5e-05,0.00454,0.0035399999999999997,0.01687,0.01762,0.018430000000000002,0.01798
chrA1,9000000,9100000,0.00251,0.00465,0.00436,0.00395,0.018609999999999998,0.01989,0.020909999999999998,0.02047
chrA1,9100000,9200000,0.0036899999999999997,0.0042899999999999995,0.00415,0.00361,0.01695,0.01816,0.02015,0.01939
chrA1,9200000,9300000,0.00634,0.0035700000000000003,0.00583,0.0036,0.01841,0.01985,0.02253,0.021580000000000002
chrA1,9300000,9400000,0.00646,0.00479,0.00392,0.0050100000000000006,0.01984,0.02056,0.0224,0.02199
chrA1,9400000,9500000,0.0054399999999999995,0.00411,0.0045,0.00558,0.01913,0.02027,0.02196,0.02141
chrA1,9500000,9600000,0.0038399999999999997,0.00471,0.0031,0.00451,0.018940000000000002,0.019819999999999997,0.02203,0.02153
chrA1,9600000,9700000,0.0034,0.00514,0.00479,0.00469,0.01622,0.01798,0.0203,0.01975
chrA1,9700000,9800000,0.00199,0.0017800000000000001,0.00064,0.0018399999999999998,0.015059999999999999,0.01653,0.0174,0.01732
chrA1,9800000,9900000,0.0021100000000000003,0.00427,0.0022600000000000003,0.00228,0.015569999999999999,0.01617,0.01813,0.01782
chrA1,9900000,10000000,0.00495,0.00367,0.00458,0.00441,0.01835,0.0192,0.020309999999999998,0.02035
