Chromosome,Start,Stop,Pammi,Geoffroy,CatIII,Pampas,LilBub,Tigrina
chrA1,0,100000,0.00033999999999999997,,0.0012,,0.00033,
chrA1,100000,200000,0.00066,0.01591,0.00064,0.01593,0.00037999999999999997,0.01619
chrA1,200000,300000,0.00131,0.01554,0.0007599999999999999,0.01522,0.00037999999999999997,0.01605
chrA1,300000,400000,0.0017100000000000001,0.01595,0.00122,0.015130000000000001,0.00055,0.01574
chrA1,400000,500000,0.00164,0.015340000000000001,0.00114,0.015019999999999999,0.00047999999999999996,0.01511
chrA1,500000,600000,0.00201,0.013869999999999999,0.00112,0.013609999999999999,0.00042,0.013890000000000001
chrA1,600000,700000,0.0025,0.017230000000000002,0.0023899999999999998,0.015590000000000001,0.00185,0.01702
chrA1,700000,800000,0.0016899999999999999,0.01754,0.0020800000000000003,0.01648,0.0019,0.017490000000000002
chrA1,800000,900000,0.0017800000000000001,0.01732,0.0015,0.01765,0.00118,0.01719
chrA1,900000,1000000,0.0019,0.01668,0.00146,0.01684,0.00139,0.01633
chrA1,1000000,1100000,0.0019100000000000002,0.01937,0.00176,0.01899,0.00162,0.0195
chrA1,1100000,1200000,0.00263,0.02069,0.00207,0.02086,0.00175,0.02056
chrA1,1200000,1300000,0.0039700000000000004,0.02544,0.0015300000000000001,0.025490000000000002,0.00361,0.025830000000000002
chrA1,1300000,1400000,0.0035700000000000003,0.02536,0.00307,0.02561,0.00389,0.02539
chrA1,1400000,1500000,0.0051,0.028239999999999998,0.00421,0.02905,0.004370000000000001,0.028460000000000003
chrA1,1500000,1600000,0.00442,0.02465,0.00421,0.02284,0.00432,0.023780000000000003
chrA1,1600000,1700000,0.00446,0.01786,0.00292,0.01787,0.004379999999999999,0.01803
chrA1,1700000,1800000,0.00385,0.02363,0.00252,0.02376,0.0038399999999999997,0.0238
chrA1,1800000,1900000,0.00259,0.020640000000000002,0.0021100000000000003,0.02071,0.00217,0.02043
chrA1,1900000,2000000,0.00432,0.02404,0.00399,0.02435,0.00381,0.02248
chrA1,2000000,2100000,0.00507,0.02678,0.0038399999999999997,0.0273,0.0048200000000000005,0.026680000000000002
chrA1,2100000,2200000,0.0043,0.02476,0.00415,0.024380000000000002,0.005529999999999999,0.02456
chrA1,2200000,2300000,0.00331,0.024919999999999998,0.0027199999999999998,0.024319999999999998,0.00476,0.02494
chrA1,2300000,2400000,0.00436,0.02742,0.0033299999999999996,0.027139999999999997,0.0009199999999999999,0.027280000000000002
chrA1,2400000,2500000,0.00404,0.02391,0.00212,0.023469999999999998,0.00011,0.02402
chrA1,2500000,2600000,0.0038799999999999998,0.024630000000000003,0.00315,0.0248,0.0043100000000000005,0.02454
chrA1,2600000,2700000,0.004370000000000001,0.024640000000000002,0.0039700000000000004,0.02485,0.0043100000000000005,0.02447
chrA1,2700000,2800000,0.0022600000000000003,0.02568,0.005379999999999999,0.02545,0.005370000000000001,0.02568
chrA1,2800000,2900000,5.9999999999999995e-05,0.02766,0.00734,0.028030000000000003,0.0070799999999999995,0.027960000000000002
chrA1,2900000,3000000,0.0033299999999999996,0.02762,0.0036899999999999997,0.026310000000000004,0.00266,0.02713
chrA1,3000000,3100000,0.00458,0.027589999999999996,0.0039,0.027410000000000004,0.004379999999999999,0.02745
chrA1,3100000,3200000,1e-05,0.0245,0.006640000000000001,0.02494,0.00633,0.02431
chrA1,3200000,3300000,0.0035700000000000003,0.02588,0.00518,0.02595,0.0055,0.02574
chrA1,3300000,3400000,0.00492,0.0241,0.00465,0.02423,0.00471,0.02366
chrA1,3400000,3500000,0.00499,0.02282,0.00492,0.023569999999999997,0.00488,0.02308
chrA1,3500000,3600000,0.00539,0.02362,0.00419,0.02383,0.00477,0.0241
chrA1,3600000,3700000,0.00757,0.026269999999999998,0.00492,0.02658,0.0070799999999999995,0.02635
chrA1,3700000,3800000,0.00683,0.02519,0.007559999999999999,0.02458,0.00687,0.02405
chrA1,3800000,3900000,0.0064,0.02938,0.00536,0.03007,0.00672,0.02953
chrA1,3900000,4000000,0.006520000000000001,0.02283,0.00389,0.022680000000000002,0.0068,0.022719999999999997
chrA1,4000000,4100000,0.00762,0.02721,0.00542,0.0277,0.00483,0.027219999999999998
chrA1,4100000,4200000,0.00533,0.02521,0.00524,0.02506,0.00533,0.02505
chrA1,4200000,4300000,0.00109,0.02887,0.00078,0.0283,0.0007,0.028319999999999998
chrA1,4300000,4400000,4e-05,0.02795,5.9999999999999995e-05,0.028460000000000003,2e-05,0.028030000000000003
chrA1,4400000,4500000,5e-05,0.02702,0.00011,0.027410000000000004,4e-05,0.027260000000000003
chrA1,4500000,4600000,0.00282,0.02628,0.00103,0.02598,2.9999999999999997e-05,0.02588
chrA1,4600000,4700000,0.00243,0.023809999999999998,0.0019399999999999999,0.02309,0.00262,0.023459999999999998
chrA1,4700000,4800000,0.00114,0.025769999999999998,0.0009400000000000001,0.0257,0.00187,0.023880000000000002
chrA1,4800000,4900000,0.005520000000000001,0.02502,0.00023999999999999998,0.02479,0.0028,0.0253
chrA1,4900000,5000000,0.00433,0.023219999999999998,0.00499,0.022580000000000003,0.00449,0.02275
chrA1,5000000,5100000,0.00466,0.02273,0.0047799999999999995,0.022080000000000002,0.0038200000000000005,0.022369999999999998
chrA1,5100000,5200000,0.00502,0.021419999999999998,0.003,0.02207,0.00447,0.02178
chrA1,5200000,5300000,0.00695,0.026389999999999997,0.00489,0.02671,0.00579,0.02647
chrA1,5300000,5400000,0.00727,0.026019999999999998,0.00302,0.026439999999999998,1e-05,0.02513
chrA1,5400000,5500000,0.00605,0.027389999999999998,0.00245,0.02754,0.00309,0.02792
chrA1,5500000,5600000,0.00375,0.02808,0.0028,0.02767,0.0030399999999999997,0.02797
chrA1,5600000,5700000,0.0049700000000000005,0.02582,0.0063100000000000005,0.02652,0.0053,0.0258
chrA1,5700000,5800000,0.00026000000000000003,0.02465,0.00371,0.02506,0.00372,0.024419999999999997
chrA1,5800000,5900000,0.0018,0.021269999999999997,0.00512,0.020659999999999998,0.00161,0.02108
chrA1,5900000,6000000,0.0061,0.02113,0.00279,0.0207,0.00185,0.02072
chrA1,6000000,6100000,0.005370000000000001,0.02026,0.0023899999999999998,0.02043,0.0023,0.02048
chrA1,6100000,6200000,0.00331,0.018940000000000002,0.00147,0.01838,0.00141,0.018690000000000002
chrA1,6200000,6300000,0.00395,0.023780000000000003,0.0028,0.0236,0.00218,0.02402
chrA1,6300000,6400000,0.0047799999999999995,0.02399,0.00607,0.023459999999999998,0.004079999999999999,0.02363
chrA1,6400000,6500000,0.00454,0.02455,0.0037600000000000003,0.02427,0.00275,0.02409
chrA1,6500000,6600000,0.00432,0.027960000000000002,0.00725,0.027260000000000003,0.00686,0.027839999999999997
chrA1,6600000,6700000,0.006520000000000001,0.02825,0.00512,0.02852,0.00722,0.028460000000000003
chrA1,6700000,6800000,0.00491,0.029560000000000003,0.00372,0.02908,0.00498,0.028960000000000003
chrA1,6800000,6900000,0.00526,0.02682,0.00496,0.02609,0.00575,0.027110000000000002
chrA1,6900000,7000000,0.0061,0.02597,0.00604,0.025789999999999997,0.0053,0.02634
chrA1,7000000,7100000,0.00761,0.02758,0.0072299999999999994,0.02712,0.007090000000000001,0.027610000000000003
chrA1,7100000,7200000,0.00415,0.02912,0.00662,0.0288,0.00395,0.028999999999999998
chrA1,7200000,7300000,0.0035299999999999997,0.0247,0.00472,0.02436,0.00312,0.0241
chrA1,7300000,7400000,0.00436,0.026369999999999998,0.00519,0.02598,0.00507,0.026139999999999997
chrA1,7400000,7500000,0.0022600000000000003,0.02436,0.0028899999999999998,0.02443,0.0058200000000000005,0.02447
chrA1,7500000,7600000,0.00543,0.024,0.00331,0.0237,1e-05,0.023790000000000002
chrA1,7600000,7700000,0.00678,0.0254,0.004229999999999999,0.02445,0.00535,0.025490000000000002
chrA1,7700000,7800000,0.00594,0.023780000000000003,0.0028,0.023780000000000003,0.00403,0.023530000000000002
chrA1,7800000,7900000,0.00103,0.020130000000000002,0.0014199999999999998,0.02028,0.00253,0.020040000000000002
chrA1,7900000,8000000,0.0012,0.02755,0.00602,0.02752,0.00259,0.02731
chrA1,8000000,8100000,0.003,0.02793,0.00419,0.02802,0.00248,0.02802
chrA1,8100000,8200000,0.00746,0.026269999999999998,0.00339,0.026410000000000003,0.00588,0.0261
chrA1,8200000,8300000,0.00485,0.02164,0.0033299999999999996,0.02195,0.00343,0.0213
chrA1,8300000,8400000,0.00595,0.02036,0.00596,0.0195,0.00573,0.0198
chrA1,8400000,8500000,0.006,0.026410000000000003,0.006490000000000001,0.026180000000000002,0.0061200000000000004,0.02642
chrA1,8500000,8600000,0.0046700000000000005,0.02425,0.00619,0.024659999999999998,0.00518,0.0248
chrA1,8600000,8700000,1e-05,0.02326,0.0056700000000000006,0.02285,0.00573,0.02282
chrA1,8700000,8800000,0.00403,0.02334,0.00581,0.02348,0.00199,0.02342
chrA1,8800000,8900000,0.00436,0.02408,0.00605,0.02434,0.00045,0.0239
chrA1,8900000,9000000,0.004070000000000001,0.02377,0.00193,0.02423,0.00481,0.02404
