Chromosome,Start,Stop,CatIII,Fca508,LilBub,Pammi,Pbe14,Pbe38,Pbe53,Pbe6
chrA1,0,100000,0.0137,0.0131,0.01107,0.01095,0.0025399999999999997,0.0020399999999999997,0.00231,0.00495
chrA1,100000,200000,0.01253,0.0122,0.01239,0.012490000000000001,0.0016899999999999999,0.00162,0.0016600000000000002,0.0033799999999999998
chrA1,200000,300000,0.01043,0.01023,0.01036,0.01042,0.0015400000000000001,0.00116,0.0016,0.0030600000000000002
chrA1,300000,400000,0.01299,0.01296,0.01296,0.013269999999999999,0.00126,0.0007599999999999999,0.00123,0.00335
chrA1,400000,500000,0.01057,0.01037,0.01028,0.0109,0.00041,0.00054,0.00039,0.0015
chrA1,500000,600000,0.01172,0.011309999999999999,0.01142,0.0116,0.0004,0.00085,0.00047000000000000004,0.00195
chrA1,600000,700000,0.01281,0.01248,0.0124,0.01292,0.0010400000000000001,0.0019,0.00023999999999999998,0.00268
chrA1,700000,800000,0.01222,0.012190000000000001,0.012029999999999999,0.01239,0.0018399999999999998,0.00199,0.00103,0.00244
chrA1,800000,900000,0.01212,0.01182,0.01175,0.01235,0.00117,0.00103,0.00078,0.0019100000000000002
chrA1,900000,1000000,0.01256,0.0127,0.01254,0.013019999999999999,0.00156,0.00217,0.00095,0.00387
chrA1,1000000,1100000,0.013009999999999999,0.01275,0.0126,0.01292,0.00088,0.00123,0.00064,0.0012699999999999999
chrA1,1100000,1200000,0.01803,0.01764,0.017669999999999998,0.01828,0.00168,0.00213,0.00126,0.00252
chrA1,1200000,1300000,0.01757,0.01735,0.01759,0.01789,0.00259,0.0039,0.0007700000000000001,0.0029100000000000003
chrA1,1300000,1400000,0.0178,0.01745,0.01775,0.01803,0.00317,0.00375,0.00176,0.00402
chrA1,1400000,1500000,0.020059999999999998,0.01986,0.02018,0.0206,0.00294,0.00305,0.00133,0.00364
chrA1,1500000,1600000,0.020880000000000003,0.02023,0.020390000000000002,0.02103,0.00065,0.0035,7e-05,0.00484
chrA1,1600000,1700000,0.01519,0.0149,0.01488,0.015280000000000002,5.9999999999999995e-05,0.00295,5e-05,0.00314
chrA1,1700000,1800000,0.021490000000000002,0.02111,0.02097,0.021240000000000002,0.00197,0.00283,0.00059,0.00285
chrA1,1800000,1900000,0.018090000000000002,0.01794,0.01778,0.0185,0.0020399999999999997,0.0015400000000000001,0.00114,0.00248
chrA1,1900000,2000000,0.02055,0.020419999999999997,0.02049,0.02113,0.00391,0.0046,0.00084,0.00359
chrA1,2000000,2100000,0.021419999999999998,0.02141,0.0211,0.02175,0.00325,0.00551,0.00028,0.0040100000000000005
chrA1,2100000,2200000,0.01964,0.01963,0.01941,0.01985,0.00029,0.0043100000000000005,0.00117,0.00436
chrA1,2200000,2300000,0.0207,0.02075,0.02017,0.02086,0.00207,0.00312,0.00112,0.00309
chrA1,2300000,2400000,0.02112,0.02112,0.020819999999999998,0.02137,0.0009199999999999999,0.0030800000000000003,0.0015300000000000001,0.004079999999999999
chrA1,2400000,2500000,0.01762,0.01775,0.01754,0.01798,0.00093,0.00214,0.00106,0.00232
chrA1,2500000,2600000,0.02129,0.0216,0.02085,0.02196,0.0035299999999999997,0.00465,0.002,0.00374
chrA1,2600000,2700000,0.01881,0.01865,0.01853,0.0191,0.00345,0.004070000000000001,0.00115,0.0034100000000000003
chrA1,2700000,2800000,0.02161,0.021509999999999998,0.021240000000000002,0.02193,0.0038399999999999997,0.004220000000000001,0.0022,0.0042899999999999995
